['D', 'G', 'I', 'A', 'E', 'O', 'N', 'H', 'M', 'C', 'J', 'L', 'K', 'F', 'B'] 1317
['D', 'G', 'I', 'A', 'E', 'O', 'N', 'H', 'M', 'C', 'J', 'L', 'K', 'F', 'B'] 1317
['D', 'I', 'M', 'H', 'E', 'A', 'C', 'O', 'N', 'B', 'J', 'L', 'G', 'K', 'F'] 1583
['D', 'J', 'L', 'H', 'G', 'N', 'E', 'O', 'I', 'M', 'C', 'A', 'B', 'K', 'F'] 1220
['F', 'H', 'G', 'C', 'J', 'K', 'M', 'N', 'L', 'E', 'B', 'D', 'I', 'A', 'O'] 1783
['D', 'I', 'M', 'E', 'H', 'L', 'A', 'C', 'O', 'N', 'B', 'J', 'K', 'F', 'G'] 1299
['C', 'M', 'B', 'D', 'H', 'J', 'L', 'N', 'E', 'O', 'I', 'K', 'G', 'F', 'A'] 1054
['C', 'M', 'B', 'H', 'J', 'L', 'N', 'E', 'O', 'I', 'K', 'G', 'F', 'D', 'A'] 897
['M', 'K', 'J', 'L', 'E', 'B', 'O', 'I', 'F', 'H', 'G', 'N', 'C', 'D', 'A'] 1257
['C', 'D', 'M', 'E', 'B', 'K', 'H', 'J', 'L', 'G', 'O', 'I', 'F', 'N', 'A'] 1418
['C', 'D', 'G', 'B', 'J', 'K', 'M', 'N', 'L', 'E', 'O', 'I', 'F', 'H', 'A'] 1589
['K', 'H', 'J', 'O', 'I', 'M', 'B', 'E', 'N', 'F', 'L', 'G', 'C', 'D', 'A'] 1557
['D', 'A', 'C', 'M', 'B', 'J', 'O', 'I', 'F', 'E', 'N', 'H', 'L', 'K', 'G'] 1225
['D', 'I', 'M', 'B', 'E', 'A', 'C', 'O', 'N', 'H', 'J', 'L', 'K', 'F', 'G'] 942
['C', 'M', 'B', 'D', 'H', 'J', 'L', 'N', 'E', 'O', 'I', 'K', 'F', 'G', 'A'] 911
['C', 'M', 'B', 'D', 'H', 'J', 'L', 'N', 'E', 'O', 'I', 'K', 'G', 'F', 'A'] 1054
['M', 'G', 'H', 'J', 'L', 'E', 'O', 'I', 'K', 'B', 'F', 'N', 'C', 'D', 'A'] 1001
['C', 'E', 'B', 'D', 'A', 'H', 'J', 'L', 'O', 'I', 'F', 'K', 'M', 'G', 'N'] 1391
['E', 'C', 'M', 'D', 'H', 'J', 'G', 'B', 'O', 'I', 'F', 'N', 'L', 'K', 'A'] 1047
['C', 'M', 'D', 'H', 'J', 'G', 'E', 'B', 'O', 'I', 'F', 'N', 'L', 'K', 'A'] 979
['F', 'H', 'G', 'C', 'J', 'K', 'M', 'N', 'L', 'E', 'B', 'O', 'I', 'D', 'A'] 1259
