['A', 'M', 'G', 'B', 'C', 'D', 'H', 'L', 'N', 'E', 'O', 'J', 'K', 'F', 'I'] 1566
['D', 'M', 'G', 'B', 'E', 'A', 'C', 'O', 'N', 'H', 'J', 'L', 'K', 'F', 'I'] 1515
['D', 'G', 'M', 'A', 'C', 'J', 'L', 'N', 'E', 'B', 'O', 'H', 'K', 'F', 'I'] 1686
['D', 'M', 'G', 'L', 'E', 'A', 'C', 'O', 'N', 'H', 'J', 'B', 'I', 'K', 'F'] 1988
['C', 'D', 'M', 'H', 'G', 'B', 'O', 'I', 'F', 'N', 'J', 'L', 'E', 'K', 'A'] 1503
['I', 'D', 'G', 'C', 'J', 'K', 'M', 'N', 'L', 'E', 'H', 'O', 'B', 'A', 'F'] 2036
['D', 'C', 'H', 'O', 'L', 'J', 'G', 'N', 'E', 'B', 'K', 'M', 'I', 'F', 'A'] 1652
['H', 'J', 'M', 'B', 'E', 'A', 'C', 'K', 'G', 'D', 'N', 'L', 'O', 'I', 'F'] 1251
['D', 'O', 'I', 'A', 'C', 'M', 'E', 'B', 'K', 'H', 'J', 'L', 'F', 'G', 'N'] 1281
['D', 'I', 'M', 'B', 'G', 'O', 'C', 'E', 'N', 'H', 'J', 'L', 'K', 'F', 'A'] 1182
['D', 'I', 'H', 'O', 'L', 'J', 'G', 'N', 'E', 'B', 'K', 'A', 'M', 'C', 'F'] 1650
['J', 'G', 'I', 'A', 'M', 'B', 'C', 'D', 'N', 'H', 'L', 'E', 'O', 'K', 'F'] 1466
['D', 'G', 'M', 'B', 'E', 'A', 'C', 'O', 'H', 'L', 'N', 'J', 'K', 'F', 'I'] 1408
['D', 'G', 'M', 'B', 'E', 'A', 'C', 'O', 'N', 'H', 'J', 'L', 'K', 'F', 'I'] 1289
['D', 'G', 'I', 'A', 'M', 'B', 'E', 'C', 'O', 'N', 'H', 'J', 'L', 'K', 'F'] 999
['J', 'G', 'M', 'B', 'I', 'A', 'C', 'D', 'H', 'L', 'N', 'E', 'O', 'K', 'F'] 1283
['J', 'I', 'E', 'B', 'G', 'A', 'M', 'C', 'D', 'H', 'L', 'N', 'O', 'K', 'F'] 954
['H', 'G', 'C', 'J', 'K', 'M', 'D', 'A', 'N', 'L', 'E', 'B', 'O', 'I', 'F'] 1366
