['C', 'D', 'M', 'H', 'L', 'J', 'G', 'N', 'E', 'B', 'O', 'I', 'K', 'F', 'A'] 1209
['C', 'D', 'M', 'H', 'G', 'J', 'L', 'N', 'E', 'B', 'O', 'I', 'K', 'F', 'A'] 1210
['G', 'M', 'B', 'C', 'N', 'E', 'D', 'O', 'H', 'L', 'J', 'I', 'K', 'F', 'A'] 1603
['M', 'G', 'J', 'I', 'A', 'B', 'C', 'O', 'N', 'H', 'L', 'K', 'F', 'D', 'E'] 1827
['E', 'D', 'O', 'J', 'I', 'H', 'L', 'K', 'A', 'M', 'C', 'B', 'G', 'F', 'N'] 1400
['O', 'I', 'E', 'J', 'D', 'H', 'L', 'K', 'A', 'M', 'C', 'B', 'G', 'F', 'N'] 1145
['C', 'D', 'M', 'H', 'L', 'J', 'G', 'N', 'E', 'B', 'O', 'I', 'K', 'F', 'A'] 1209
['N', 'I', 'A', 'K', 'E', 'O', 'J', 'L', 'C', 'H', 'F', 'G', 'B', 'M', 'D'] 1834
['G', 'A', 'M', 'N', 'I', 'C', 'D', 'J', 'H', 'B', 'E', 'O', 'K', 'L', 'F'] 2119
['F', 'N', 'I', 'A', 'M', 'B', 'E', 'O', 'K', 'C', 'D', 'J', 'H', 'L', 'G'] 1623
['O', 'N', 'C', 'J', 'F', 'I', 'K', 'A', 'H', 'D', 'L', 'G', 'M', 'E', 'B'] 2176
['I', 'N', 'A', 'K', 'E', 'O', 'J', 'L', 'C', 'H', 'F', 'G', 'B', 'M', 'D'] 2172
['J', 'G', 'I', 'A', 'M', 'B', 'E', 'O', 'K', 'H', 'C', 'L', 'F', 'N', 'D'] 1567
['J', 'F', 'I', 'A', 'M', 'B', 'E', 'O', 'K', 'H', 'C', 'L', 'N', 'D', 'G'] 1679
['L', 'A', 'I', 'J', 'H', 'O', 'F', 'K', 'D', 'E', 'N', 'G', 'M', 'C', 'B'] 2561
['O', 'J', 'F', 'I', 'A', 'H', 'L', 'N', 'C', 'B', 'G', 'K', 'M', 'D', 'E'] 1981
['O', 'J', 'F', 'I', 'A', 'H', 'L', 'N', 'C', 'B', 'G', 'K', 'M', 'D', 'E'] 1981
['L', 'A', 'C', 'I', 'J', 'B', 'E', 'O', 'K', 'H', 'N', 'F', 'G', 'M', 'D'] 1869
['G', 'I', 'A', 'M', 'B', 'J', 'N', 'H', 'O', 'F', 'E', 'K', 'C', 'L', 'D'] 1971
['J', 'G', 'I', 'M', 'B', 'A', 'C', 'O', 'N', 'H', 'E', 'K', 'L', 'D', 'F'] 2050
['J', 'G', 'I', 'M', 'B', 'C', 'O', 'A', 'N', 'H', 'L', 'K', 'F', 'D', 'E'] 1656
['N', 'I', 'H', 'K', 'J', 'L', 'A', 'O', 'C', 'F', 'G', 'E', 'B', 'M', 'D'] 1742
['N', 'O', 'I', 'K', 'J', 'L', 'A', 'H', 'C', 'F', 'G', 'E', 'B', 'M', 'D'] 1194
['D', 'A', 'C', 'I', 'B', 'J', 'N', 'H', 'O', 'F', 'L', 'K', 'G', 'M', 'E'] 1687
['B', 'A', 'O', 'N', 'I', 'C', 'D', 'J', 'H', 'L', 'F', 'G', 'K', 'M', 'E'] 1835
['L', 'G', 'I', 'A', 'M', 'B', 'E', 'O', 'K', 'H', 'C', 'J', 'N', 'F', 'D'] 1635
['C', 'D', 'M', 'H', 'L', 'J', 'O', 'A', 'K', 'I', 'F', 'G', 'E', 'N', 'B'] 1885
['D', 'O', 'C', 'A', 'K', 'J', 'M', 'H', 'L', 'G', 'N', 'E', 'B', 'I', 'F'] 1572
['J', 'G', 'I', 'A', 'M', 'B', 'C', 'D', 'H', 'L', 'N', 'E', 'O', 'K', 'F'] 1216
['D', 'J', 'F', 'A', 'M', 'B', 'E', 'O', 'K', 'H', 'I', 'L', 'N', 'G', 'C'] 1826
['G', 'M', 'B', 'J', 'F', 'I', 'K', 'A', 'H', 'L', 'E', 'O', 'C', 'N', 'D'] 1913
['J', 'G', 'I', 'O', 'D', 'H', 'L', 'K', 'A', 'M', 'B', 'E', 'C', 'N', 'F'] 1280
['J', 'G', 'I', 'A', 'M', 'B', 'O', 'K', 'H', 'C', 'L', 'F', 'N', 'D', 'E'] 1675
['J', 'G', 'I', 'A', 'M', 'B', 'C', 'O', 'H', 'L', 'K', 'F', 'E', 'N', 'D'] 1566
['J', 'G', 'I', 'A', 'M', 'C', 'O', 'N', 'L', 'K', 'F', 'D', 'E', 'H', 'B'] 1429
['I', 'J', 'D', 'H', 'L', 'B', 'E', 'O', 'K', 'A', 'M', 'C', 'G', 'F', 'N'] 1455
['J', 'G', 'I', 'A', 'M', 'H', 'L', 'K', 'B', 'E', 'O', 'C', 'F', 'N', 'D'] 1622
['G', 'I', 'A', 'M', 'B', 'O', 'J', 'L', 'E', 'K', 'H', 'C', 'F', 'N', 'D'] 1693
['N', 'O', 'K', 'F', 'I', 'A', 'H', 'J', 'L', 'E', 'C', 'G', 'M', 'B', 'D'] 1653
['L', 'A', 'C', 'I', 'J', 'N', 'H', 'O', 'F', 'G', 'K', 'M', 'B', 'D', 'E'] 1680
['L', 'A', 'C', 'I', 'B', 'J', 'N', 'H', 'O', 'F', 'G', 'M', 'K', 'D', 'E'] 1948
['N', 'I', 'A', 'K', 'E', 'O', 'J', 'C', 'L', 'H', 'F', 'G', 'B', 'M', 'D'] 1546
['N', 'O', 'K', 'F', 'I', 'A', 'E', 'J', 'C', 'H', 'L', 'G', 'B', 'M', 'D'] 2204
['N', 'O', 'F', 'I', 'A', 'E', 'J', 'L', 'K', 'H', 'C', 'G', 'B', 'M', 'D'] 1922
['E', 'O', 'J', 'I', 'H', 'L', 'N', 'K', 'A', 'M', 'C', 'B', 'G', 'F', 'D'] 1264
['I', 'E', 'O', 'J', 'K', 'F', 'D', 'A', 'H', 'L', 'N', 'G', 'M', 'C', 'B'] 1304
['N', 'I', 'E', 'O', 'J', 'K', 'A', 'L', 'C', 'H', 'F', 'G', 'B', 'M', 'D'] 1694
['D', 'E', 'I', 'O', 'J', 'L', 'H', 'F', 'K', 'A', 'N', 'G', 'M', 'C', 'B'] 1692
['N', 'O', 'D', 'J', 'F', 'I', 'K', 'E', 'L', 'H', 'A', 'M', 'C', 'B', 'G'] 1782
['N', 'I', 'A', 'K', 'E', 'O', 'J', 'L', 'H', 'M', 'C', 'B', 'G', 'F', 'D'] 1400
