['I', 'D', 'A', 'H', 'L', 'J', 'E', 'B', 'F', 'N', 'O', 'K', 'M', 'C', 'G'] 1545
['I', 'F', 'D', 'A', 'H', 'N', 'J', 'E', 'L', 'G', 'B', 'O', 'K', 'M', 'C'] 1530
['D', 'O', 'I', 'M', 'B', 'G', 'C', 'E', 'N', 'H', 'J', 'L', 'K', 'F', 'A'] 898
['D', 'I', 'M', 'O', 'A', 'C', 'E', 'B', 'K', 'H', 'J', 'L', 'G', 'F', 'N'] 1481
['D', 'I', 'M', 'O', 'A', 'C', 'E', 'B', 'K', 'H', 'J', 'L', 'G', 'F', 'N'] 1481
['D', 'L', 'G', 'E', 'O', 'I', 'M', 'C', 'B', 'N', 'H', 'J', 'K', 'F', 'A'] 1338
['D', 'G', 'I', 'A', 'E', 'O', 'N', 'H', 'J', 'M', 'C', 'B', 'L', 'K', 'F'] 1201
['D', 'G', 'I', 'A', 'M', 'B', 'E', 'C', 'O', 'N', 'J', 'K', 'H', 'L', 'F'] 1459
['O', 'I', 'J', 'D', 'H', 'L', 'G', 'N', 'E', 'B', 'K', 'A', 'M', 'C', 'F'] 1426
['E', 'B', 'D', 'H', 'L', 'J', 'O', 'I', 'F', 'K', 'A', 'M', 'C', 'G', 'N'] 1354
['E', 'B', 'D', 'A', 'H', 'J', 'L', 'O', 'I', 'F', 'K', 'M', 'C', 'G', 'N'] 1193
['O', 'I', 'D', 'G', 'B', 'M', 'C', 'E', 'N', 'H', 'J', 'L', 'K', 'F', 'A'] 1152
['D', 'I', 'G', 'O', 'H', 'J', 'L', 'N', 'E', 'B', 'K', 'A', 'M', 'C', 'F'] 1399
['D', 'B', 'O', 'E', 'H', 'J', 'L', 'I', 'F', 'K', 'A', 'M', 'C', 'G', 'N'] 1690
['O', 'E', 'G', 'I', 'F', 'J', 'K', 'D', 'H', 'L', 'N', 'M', 'C', 'B', 'A'] 1345
['I', 'E', 'O', 'A', 'H', 'L', 'M', 'B', 'F', 'N', 'J', 'K', 'C', 'D', 'G'] 1951
['J', 'D', 'A', 'N', 'L', 'M', 'C', 'B', 'H', 'E', 'O', 'I', 'K', 'F', 'G'] 1274
['I', 'A', 'D', 'H', 'L', 'J', 'G', 'N', 'E', 'M', 'B', 'C', 'O', 'K', 'F'] 1806
['D', 'H', 'I', 'A', 'M', 'B', 'E', 'C', 'O', 'L', 'J', 'G', 'N', 'K', 'F'] 1213
['I', 'D', 'G', 'J', 'M', 'C', 'O', 'N', 'L', 'H', 'E', 'B', 'K', 'A', 'F'] 1596
['O', 'I', 'E', 'J', 'D', 'H', 'L', 'K', 'A', 'M', 'C', 'B', 'G', 'F', 'N'] 1145
['O', 'I', 'M', 'E', 'B', 'K', 'H', 'J', 'L', 'G', 'F', 'N', 'D', 'A', 'C'] 1209
['D', 'H', 'L', 'C', 'G', 'E', 'B', 'O', 'I', 'F', 'N', 'J', 'K', 'A', 'M'] 1105
['D', 'H', 'L', 'J', 'G', 'N', 'O', 'M', 'C', 'K', 'F', 'E', 'B', 'I', 'A'] 1499
['D', 'H', 'G', 'J', 'O', 'N', 'L', 'E', 'I', 'M', 'C', 'B', 'K', 'F', 'A'] 1679
['D', 'H', 'G', 'M', 'C', 'O', 'N', 'E', 'I', 'B', 'J', 'L', 'K', 'F', 'A'] 1434
['E', 'O', 'J', 'F', 'D', 'A', 'H', 'L', 'N', 'M', 'I', 'K', 'G', 'C', 'B'] 1443
['B', 'D', 'H', 'J', 'L', 'E', 'O', 'I', 'K', 'G', 'N', 'M', 'C', 'F', 'A'] 1367
['C', 'M', 'B', 'D', 'F', 'L', 'E', 'O', 'I', 'K', 'H', 'N', 'J', 'G', 'A'] 1193
['D', 'H', 'L', 'G', 'J', 'M', 'C', 'O', 'N', 'K', 'F', 'E', 'B', 'I', 'A'] 1430
['M', 'H', 'G', 'L', 'C', 'E', 'B', 'O', 'I', 'F', 'N', 'J', 'K', 'D', 'A'] 1335
['H', 'I', 'M', 'L', 'C', 'G', 'E', 'B', 'O', 'F', 'N', 'J', 'K', 'D', 'A'] 1748
['H', 'J', 'L', 'N', 'E', 'A', 'O', 'I', 'K', 'M', 'C', 'B', 'G', 'F', 'D'] 1267
['D', 'I', 'M', 'H', 'E', 'O', 'A', 'C', 'N', 'B', 'J', 'L', 'K', 'F', 'G'] 1410
['D', 'I', 'M', 'E', 'H', 'L', 'A', 'C', 'O', 'N', 'B', 'J', 'K', 'F', 'G'] 1299
['O', 'M', 'B', 'D', 'I', 'E', 'K', 'H', 'C', 'L', 'G', 'F', 'N', 'J', 'A'] 1761
['C', 'I', 'M', 'E', 'B', 'D', 'H', 'J', 'L', 'N', 'O', 'K', 'G', 'F', 'A'] 1160
['C', 'F', 'D', 'A', 'M', 'B', 'H', 'J', 'L', 'N', 'E', 'O', 'I', 'K', 'G'] 1018
['M', 'E', 'B', 'O', 'I', 'F', 'H', 'J', 'L', 'G', 'N', 'K', 'C', 'D', 'A'] 1169
['M', 'E', 'B', 'K', 'H', 'J', 'O', 'I', 'F', 'N', 'L', 'G', 'C', 'D', 'A'] 1170
['O', 'I', 'M', 'B', 'K', 'H', 'J', 'L', 'N', 'E', 'G', 'F', 'C', 'D', 'A'] 1169
['D', 'H', 'L', 'J', 'G', 'N', 'I', 'M', 'B', 'O', 'C', 'E', 'K', 'F', 'A'] 1411
['D', 'I', 'M', 'B', 'G', 'O', 'H', 'L', 'J', 'N', 'E', 'C', 'K', 'F', 'A'] 1219
['O', 'I', 'M', 'E', 'B', 'K', 'D', 'H', 'L', 'J', 'G', 'N', 'C', 'F', 'A'] 1596
['C', 'H', 'J', 'G', 'F', 'K', 'M', 'N', 'L', 'E', 'B', 'O', 'I', 'D', 'A'] 1368
['H', 'C', 'M', 'B', 'D', 'J', 'L', 'N', 'E', 'O', 'I', 'K', 'G', 'F', 'A'] 1205
['G', 'M', 'B', 'I', 'D', 'O', 'C', 'E', 'N', 'H', 'J', 'L', 'K', 'F', 'A'] 1423
['I', 'F', 'D', 'A', 'H', 'L', 'N', 'E', 'B', 'O', 'J', 'K', 'C', 'M', 'G'] 1413
['H', 'L', 'G', 'E', 'B', 'I', 'F', 'N', 'J', 'C', 'O', 'K', 'M', 'D', 'A'] 1816
['M', 'H', 'L', 'G', 'O', 'I', 'N', 'J', 'K', 'C', 'F', 'E', 'B', 'D', 'A'] 1499
