['L', 'K', 'E', 'N', 'H', 'J', 'M', 'B', 'O', 'I', 'A', 'C', 'G', 'F', 'D'] 1140
['B', 'L', 'E', 'O', 'N', 'H', 'J', 'I', 'K', 'A', 'G', 'M', 'C', 'F', 'D'] 1283
['B', 'L', 'I', 'K', 'O', 'N', 'E', 'C', 'H', 'J', 'M', 'G', 'F', 'D', 'A'] 1355
['D', 'G', 'I', 'A', 'M', 'B', 'N', 'H', 'E', 'C', 'O', 'J', 'L', 'K', 'F'] 1298
['D', 'G', 'I', 'A', 'M', 'B', 'N', 'E', 'C', 'O', 'H', 'J', 'L', 'K', 'F'] 1070
['L', 'I', 'K', 'E', 'O', 'N', 'H', 'J', 'B', 'M', 'C', 'D', 'A', 'G', 'F'] 1162
['I', 'L', 'K', 'E', 'O', 'N', 'H', 'B', 'J', 'M', 'C', 'D', 'A', 'G', 'F'] 1356
['L', 'K', 'E', 'N', 'H', 'J', 'B', 'C', 'O', 'I', 'M', 'D', 'A', 'G', 'F'] 1625
['H', 'J', 'L', 'N', 'E', 'B', 'O', 'I', 'K', 'A', 'M', 'C', 'G', 'F', 'D'] 887
['H', 'J', 'L', 'N', 'E', 'O', 'I', 'K', 'A', 'M', 'C', 'B', 'G', 'F', 'D'] 1017
['H', 'L', 'I', 'K', 'E', 'J', 'N', 'O', 'A', 'M', 'C', 'B', 'G', 'F', 'D'] 1694
['H', 'J', 'N', 'K', 'M', 'C', 'E', 'B', 'O', 'I', 'A', 'L', 'G', 'F', 'D'] 1161
['F', 'D', 'H', 'J', 'G', 'E', 'I', 'K', 'A', 'M', 'C', 'B', 'O', 'L', 'N'] 1295
['K', 'F', 'D', 'E', 'B', 'O', 'N', 'H', 'J', 'M', 'C', 'G', 'I', 'A', 'L'] 1217
['G', 'A', 'J', 'N', 'E', 'B', 'D', 'I', 'M', 'C', 'O', 'H', 'L', 'K', 'F'] 1283
['J', 'N', 'I', 'A', 'M', 'B', 'E', 'C', 'D', 'H', 'L', 'K', 'G', 'F', 'O'] 846
['G', 'M', 'L', 'N', 'E', 'B', 'O', 'I', 'J', 'D', 'A', 'H', 'K', 'C', 'F'] 1529
