['I', 'E', 'M', 'D', 'H', 'J', 'B', 'C', 'A', 'L', 'N', 'K', 'G', 'F', 'O'] 1719
['I', 'M', 'N', 'E', 'B', 'O', 'C', 'D', 'A', 'H', 'L', 'J', 'K', 'G', 'F'] 1256
['C', 'M', 'D', 'H', 'J', 'A', 'G', 'E', 'B', 'O', 'I', 'F', 'N', 'L', 'K'] 1241
['D', 'I', 'M', 'H', 'E', 'G', 'A', 'C', 'O', 'N', 'B', 'J', 'L', 'K', 'F'] 1433
['D', 'I', 'M', 'H', 'E', 'O', 'A', 'C', 'N', 'B', 'J', 'L', 'K', 'F', 'G'] 1410
['B', 'A', 'M', 'D', 'H', 'J', 'L', 'N', 'E', 'O', 'I', 'K', 'C', 'G', 'F'] 1349
['J', 'L', 'H', 'N', 'E', 'B', 'O', 'I', 'K', 'A', 'M', 'D', 'F', 'G', 'C'] 1274
['I', 'E', 'B', 'M', 'C', 'D', 'A', 'H', 'L', 'N', 'J', 'O', 'K', 'F', 'G'] 1123
['D', 'J', 'N', 'E', 'B', 'O', 'I', 'A', 'M', 'C', 'H', 'L', 'K', 'G', 'F'] 1180
['J', 'E', 'B', 'M', 'C', 'D', 'A', 'H', 'L', 'N', 'O', 'I', 'G', 'K', 'F'] 1101
['N', 'C', 'M', 'H', 'J', 'D', 'G', 'B', 'O', 'I', 'E', 'A', 'L', 'K', 'F'] 1531
['I', 'E', 'B', 'M', 'C', 'D', 'A', 'H', 'N', 'J', 'K', 'G', 'L', 'F', 'O'] 1325
['C', 'M', 'D', 'H', 'J', 'E', 'B', 'O', 'I', 'F', 'N', 'L', 'G', 'K', 'A'] 1142
['M', 'D', 'H', 'J', 'G', 'E', 'B', 'O', 'I', 'F', 'N', 'L', 'C', 'K', 'A'] 1129
['L', 'I', 'F', 'G', 'E', 'B', 'O', 'K', 'N', 'H', 'J', 'M', 'C', 'A', 'D'] 1374
['D', 'F', 'I', 'K', 'E', 'O', 'N', 'G', 'B', 'A', 'H', 'L', 'J', 'M', 'C'] 1922
['K', 'F', 'D', 'H', 'J', 'G', 'E', 'B', 'O', 'I', 'A', 'L', 'N', 'M', 'C'] 1029
['J', 'N', 'M', 'G', 'E', 'B', 'O', 'I', 'A', 'D', 'H', 'C', 'L', 'K', 'F'] 1138
['J', 'D', 'H', 'E', 'B', 'O', 'I', 'A', 'M', 'C', 'G', 'L', 'N', 'K', 'F'] 1161
['M', 'C', 'A', 'H', 'J', 'G', 'E', 'B', 'O', 'I', 'F', 'D', 'L', 'N', 'K'] 1080
['K', 'M', 'D', 'H', 'J', 'G', 'E', 'B', 'O', 'I', 'F', 'N', 'L', 'A', 'C'] 954
['D', 'J', 'L', 'N', 'E', 'B', 'O', 'I', 'K', 'A', 'M', 'C', 'G', 'H', 'F'] 1026
['E', 'C', 'M', 'H', 'J', 'D', 'G', 'B', 'O', 'I', 'F', 'N', 'L', 'K', 'A'] 1069
['C', 'M', 'D', 'H', 'J', 'G', 'E', 'B', 'O', 'K', 'I', 'F', 'N', 'L', 'A'] 1183
['N', 'E', 'B', 'G', 'H', 'J', 'L', 'O', 'K', 'I', 'A', 'M', 'C', 'D', 'F'] 1174
['N', 'E', 'B', 'D', 'H', 'J', 'L', 'O', 'I', 'K', 'A', 'M', 'C', 'G', 'F'] 1013
['C', 'M', 'D', 'J', 'E', 'B', 'O', 'H', 'G', 'I', 'F', 'N', 'L', 'K', 'A'] 1157
