['N', 'O', 'I', 'A', 'E', 'J', 'L', 'C', 'B', 'H', 'F', 'G', 'K', 'M', 'D'] 1734
['F', 'B', 'A', 'G', 'J', 'K', 'L', 'C', 'I', 'N', 'H', 'O', 'M', 'D', 'E'] 2234
['O', 'H', 'J', 'L', 'A', 'C', 'F', 'N', 'E', 'B', 'K', 'D', 'I', 'M', 'G'] 1422
['O', 'H', 'L', 'J', 'N', 'K', 'D', 'A', 'C', 'F', 'G', 'E', 'B', 'M', 'I'] 1257
['A', 'O', 'J', 'N', 'E', 'K', 'D', 'L', 'H', 'C', 'F', 'G', 'B', 'M', 'I'] 2007
['A', 'F', 'O', 'J', 'G', 'C', 'H', 'M', 'L', 'N', 'E', 'B', 'K', 'D', 'I'] 2076
['K', 'B', 'A', 'C', 'H', 'J', 'G', 'N', 'E', 'M', 'L', 'O', 'I', 'F', 'D'] 1841
['J', 'G', 'B', 'A', 'C', 'O', 'I', 'K', 'H', 'M', 'L', 'E', 'N', 'F', 'D'] 1912
['L', 'A', 'B', 'C', 'I', 'J', 'N', 'H', 'O', 'F', 'G', 'K', 'M', 'D', 'E'] 2198
['L', 'G', 'A', 'I', 'B', 'C', 'J', 'N', 'H', 'O', 'K', 'M', 'E', 'F', 'D'] 2042
['L', 'G', 'K', 'J', 'F', 'C', 'I', 'N', 'H', 'O', 'B', 'A', 'M', 'E', 'D'] 2304
['F', 'B', 'A', 'L', 'G', 'C', 'I', 'J', 'N', 'H', 'O', 'K', 'M', 'E', 'D'] 2159
['L', 'G', 'A', 'F', 'B', 'J', 'K', 'M', 'C', 'I', 'N', 'H', 'E', 'O', 'D'] 1720
['N', 'O', 'M', 'F', 'B', 'A', 'G', 'J', 'K', 'C', 'L', 'I', 'H', 'E', 'D'] 2088
['B', 'A', 'C', 'O', 'N', 'J', 'G', 'I', 'M', 'E', 'K', 'H', 'L', 'D', 'F'] 1976
['J', 'G', 'I', 'A', 'M', 'B', 'C', 'O', 'N', 'H', 'L', 'K', 'F', 'D', 'E'] 1343
['D', 'G', 'M', 'B', 'E', 'A', 'C', 'O', 'N', 'H', 'J', 'L', 'K', 'F', 'I'] 1289
['A', 'C', 'J', 'K', 'M', 'G', 'E', 'I', 'H', 'L', 'N', 'F', 'B', 'O', 'D'] 1846
['A', 'C', 'I', 'N', 'O', 'D', 'J', 'F', 'H', 'L', 'K', 'G', 'M', 'E', 'B'] 1615
['J', 'E', 'I', 'O', 'D', 'H', 'L', 'K', 'A', 'M', 'C', 'B', 'G', 'F', 'N'] 1388
